Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Trinidad and Tobago,,,24.2,,34.0,,,21.0,,,,,,,11.0
Tunisia,92.7,78.1,38.5,8.0,2.6,66.0,1.0,35.0,0.1,67.0,33.0,0.1,0.1,39.0,8.5
Turkey,,65.2,44.5,11.9,4.5,41.0,14.0,16.0,,,,,,,11.1
Turkmenistan,93.9,,21.7,,12.5,,,46.0,,,,,,,6.1
Turks and Caicos Islands,,,,,5.8,,,6.0,,,,,,,
Tuvalu,,6.3,,,1.0,,,270.0,,,,,,,22.1
Uganda,7.1,,51.9,53.6,0.1,17.0,3.0,200.0,5.7,40.0,60.0,1.1,2.8,72.0,2.5
Ukraine,92.0,68.5,20.6,,5.0,47.0,14.0,80.0,1.0,63.0,37.0,0.1,0.1,52.0,6.1
United Arab Emirates,,96.3,40.5,,22.9,37.0,1.0,1.0,,,,,,,16.3
United Kingdom,100.0,97.8,10.5,,6.5,25.0,20.0,8.0,0.2,71.0,29.0,,,90.0,3.9
United States,99.0,90.0,7.4,,16.5,25.0,19.0,3.0,0.4,,,,,,10.8
Uruguay,,,9.2,,2.0,20.0,14.0,33.0,0.6,71.0,29.0,0.2,0.1,58.0,7.3
Uzbekistan,58.9,,27.8,,3.4,25.0,1.0,70.0,0.2,66.0,34.0,0.1,0.1,51.0,6.5
Vanuatu,44.1,,11.6,,0.6,35.0,3.0,46.0,,,,,,,11.9
Venezuela,,23.8,16.8,,6.2,,,48.0,,66.0,34.0,,,,7.0
Vietnam,,,30.2,27.2,1.8,46.0,1.0,182.0,0.3,67.0,33.0,0.1,0.1,65.0,6.0
Virgin Islands,,,10.3,,,,,,,,,,,,12.3
West Bank and Gaza,,61.2,32.7,,0.6,,,1.0,,,,,,,9.5
Yemen,,,50.1,60.8,0.9,29.0,8.0,48.0,0.1,78.0,22.0,0.1,0.1,21.0,5.4
Zambia,,,27.4,54.0,0.3,25.0,3.0,346.0,11.3,41.0,59.0,2.4,5.0,78.0,4.5
Zimbabwe,,,21.7,25.1,0.9,31.0,2.0,210.0,12.7,40.0,60.0,3.2,5.7,88.0,1.8
